utility_id,utility_slug,utility_name,aliases,city,county,state,service_area_name,service_area_type,inventory_url,lookup_url,notification_url,program_ids,contact_phone,contact_email,inventory_status,inventory_summary,known_count,potential_count,unknown_count,non_lead_count,address_lookup_mode,resolver_municipalities,resolver_hints,resolver_postal_prefixes,source_refs,verification_status,last_verified
monroe-water-mi,monroe-water-wastewater,City of Monroe Water and Wastewater Department,Monroe Water|Monroe Water Department,monroe,monroe,mi,City of Monroe,city,https://www.monroemi.gov/c_i_t_y_h_a_l_l/departments/water__wastewater/lead_service,https://www.monroemi.gov/c_i_t_y_h_a_l_l/departments/water__wastewater/lead_service,https://www.monroemi.gov/c_i_t_y_h_a_l_l/departments/water__wastewater/lead_service,,734-384-9150,barry.laroy@monroemi.gov,lead-service-counts-and-replacement-application-published,"Monroe says approximately 1315 of 15251 customers have full or partial lead service lines requiring field verification. The city continues annual replacement work through construction and maintenance projects and publishes both a replacement application and priority areas online.",1315,,,,contact_only,monroe,downtown monroe|river raisin,481,src-monroe-inventory|src-monroe-notification,verified,2026-04-05
lansing-bwl-mi,lansing-board-of-water-light,Lansing Board of Water and Light,BWL|Lansing BWL,lansing,ingham,mi,Lansing Board of Water and Light service area,regional-utility,https://www.lbwl.com/customers/water-resource-center/lead-information,https://www.lbwl.com/customers/water-resource-center/lead-information,https://www.lbwl.com/customers/water-resource-center/lead-information,,517-702-6006,custservice@lbwl.com,verified-no-remaining-lead-service-lines,"BWL says it removed all known active lead service lines and galvanized requiring replacement lines by 2016 and verified by October 16 2024 that no lead service lines, galvanized requiring replacement lines, or unknown service lines remain in its system.",0,,0,,contact_only,lansing,old town|westside|eastside,489,src-lansing-bwl-inventory|src-lansing-bwl-notification,verified,2026-04-05
bloomington-water-in,bloomington-utilities,City of Bloomington Utilities,Bloomington Utilities|CBU,bloomington,monroe,in,City of Bloomington Utilities service area,city,https://bloomington.in.gov/utilities/inventory,https://bloomington.in.gov/utilities/inventory,https://bloomington.in.gov/utilities/inventory,,812-349-3655,wq@bloomington.in.gov,inventory-and-right-of-entry-process-published,"Bloomington says its searchable inventory covers more than 27000 service connections, selected owners may be asked to sign right-of-entry forms for field verification, and those verified lead findings will feed into a future citywide replacement schedule.",,,,,official_lookup,bloomington,elm heights|prospect hill|garden hill,474,src-bloomington-inventory|src-bloomington-notification,verified,2026-04-05
citizens-energy-group-in,citizens-energy-group,Citizens Energy Group,Citizens Water|Citizens Energy Group,indianapolis,marion,in,Citizens Energy Group water service territory,regional-utility,https://experience.arcgis.com/experience/62c6ba97e9374962b57ba4fe26ab7d5a,https://experience.arcgis.com/experience/62c6ba97e9374962b57ba4fe26ab7d5a,https://blog.citizensenergygroup.com/news/citizens-energy-group-unveils-lead-service-line-inventory-portal-mailing-letters-to-customers-who-own-or-may-own-lead-water-service-lines,citizens-lslr-program,317-924-3311,CustomerCare@citizensenergygroup.com,inventory-portal-and-annual-letters-published,"Citizens says it launched a searchable inventory portal, mails annual notices until physical inspection confirms non-lead status or replacement is complete, estimates that more than 75000 customers may still own and use lead service lines, and limits no additional cost replacement promises to the neighborhoods where the active utility program is already scheduled.",,,,,official_lookup,indianapolis,irvington|haughville|broad ripple|fountain square,462,src-citizens-inventory|src-citizens-notification,verified,2026-04-05
speedway-water-in,speedway-water-works,Town of Speedway Water Works,Speedway Water|Town of Speedway Water Works,speedway,marion,in,Town of Speedway,city,https://pws-ptd.120wateraudit.com/Speedway-IN,https://pws-ptd.120wateraudit.com/Speedway-IN,https://www.speedwayin.gov/water-works/lead-service-line-inventory-project,,317-246-4111,SpeedwayWater@structurepoint.com,inventory-project-and-public-inventory-published,"Speedway says it publicly posted its October 2024 inventory for about 4300 service connections, mails letters to lead and unknown addresses, and uses homeowner surveys plus targeted field investigation rather than a blanket replacement promise while unknown records are reduced.",,,,,official_lookup,speedway,main street speedway,462,src-speedway-inventory|src-speedway-notification,verified,2026-04-05
evansville-water-in,evansville-water-and-sewer-utility,Evansville Water and Sewer Utility,EWSU|Evansville Water,evansville,vanderburgh,in,Evansville Water and Sewer Utility service area,regional-utility,https://pws-ptd.120wateraudit.com/Evansville_Water_Utility_IN,https://pws-ptd.120wateraudit.com/Evansville_Water_Utility_IN,https://ewsu.com/water-sewer/water-resource-recovery/lead-safety/,,812-436-7846,customerservice@ewsu.com,inventory-map-and-notice-letters-published,"EWSU says its public inventory remains available through IDEM, customers received status letters in November 2024, the lead safety page posts downloadable lead GRR and unknown notice copies, and field verification continues before the utility overstates replacement timing.",,,,,official_lookup,evansville,downtown evansville|haynies corner|jacobsville,477,src-evansville-inventory|src-evansville-notification,verified,2026-04-05
kendallville-water-in,kendallville-water-department,City of Kendallville Water Department,Kendallville Water|Kendallville Water Department,kendallville,noble,in,City of Kendallville,city,https://www.kendallvillein.gov/departments/Water/LeadLineReplacementProgram,https://www.kendallvillein.gov/departments/Water/LeadLineReplacementProgram,https://www.kendallvillein.gov/departments/Water/LeadLineReplacementProgram,kendallville-lslr-program,260-347-0852,clerk@kendallvillein.gov,inventory-notices-and-phase-1-replacement-program-published,"Kendallville says it completed its lead service line inventory on October 16 2024, keeps sending annual paper letters until replacement is recorded, and began phase 1 replacement work in 2026 using state grant and loan funding with signed right-of-entry forms rather than an owner-triggered citywide replacement path.",,,,,contact_only,kendallville,,467,src-kendallville-inventory|src-kendallville-notification,verified,2026-04-05
south-bend-water-in,south-bend-water-works,City of South Bend Water Works,South Bend Water Works|South Bend Municipal Utilities,south-bend,st-joseph,in,City of South Bend,city,https://southbendin.gov/department/public-works/utilities-division/water-works/,https://southbendin.gov/department/public-works/utilities-division/water-works/,https://southbendin.gov/work/city-asks-customers-to-complete-survey-on-water-service-line-material/,,574-235-5994,waterquality@southbendin.gov,service-line-map-and-survey-published,"South Bend Water Works says more than 34000 customers were asked to complete the city service line survey, the inventory map should be used to check address status, 311 or water quality staff can coordinate free lead testing, and the city still treats private-side verification as a prerequisite before it overstates replacement timing.",,,,,official_lookup,south bend|south-bend,downtown south bend|river park|near northwest,466,src-south-bend-inventory|src-south-bend-notification,verified,2026-04-05
lafayette-water-in,lafayette-water-works,City of Lafayette Water Works,Lafayette Water Works|Lafayette Water,lafayette,tippecanoe,in,City of Lafayette,city,https://lafayette.in.gov/3615/Lead-Service-Line-Replacement-Program,https://lafayette.in.gov/3615/Lead-Service-Line-Replacement-Program,https://lafayette.in.gov/3615/Lead-Service-Line-Replacement-Program,lafayette-lslr-program,765-807-1700,smoore@lafayette.in.gov,project-areas-and-notice-letters-published,"Lafayette says about 3200 service lines are currently flagged as lead galvanized requiring replacement or unknown, letters went out in early November 2024, and the city publishes current project areas plus 45-day notice and right-of-entry steps online.",,,,,official_lookup,lafayette,downtown lafayette|st mary historic district|centennial,479,src-lafayette-inventory|src-lafayette-notification,verified,2026-04-05
mishawaka-water-in,mishawaka-utilities,Mishawaka Utilities,Mishawaka Water|Mishawaka Utilities,mishawaka,st-joseph,in,City of Mishawaka,city,https://mishawaka.in.gov/lead-free/,https://mishawaka.in.gov/lead-free/,https://mishawaka.in.gov/lead-free/,,574-258-1652,MishawakaLeadFree@Mishawaka.in.gov,lead-free-page-and-owner-inspection-process-published,"Mishawaka says it has already replaced the utility-owned portion of about 4100 lead service lines, mailed letters to customers with lead galvanized or unknown lines in late 2024, and will replace the utility side within 45 days when an owner replaces a lead or galvanized private-side line.",,,,,official_lookup,mishawaka,downtown mishawaka|beutter park|ball band,465,src-mishawaka-inventory|src-mishawaka-notification,verified,2026-04-05
bloomington-water-il,bloomington-water-department,City of Bloomington Water Department,Bloomington Water|City of Bloomington Water,bloomington,mclean,il,City of Bloomington,city,https://www.bloomingtonil.gov/departments/water/project-updates/water-service-line-inventory,https://experience.arcgis.com/experience/a478f50b36b548dab7b3ae2dbeeba1d7/,https://www.bloomingtonil.gov/departments/water/resident-community/lead-service-line-replacement-project,bloomington-il-lslr-project,309-434-2400,water@cityblm.org,inventory-and-block-replacement-project-published,"Bloomington says it is potholing properties to verify private-side material, publishes an interactive map and dashboard with lead GRR unknown and non-lead categories, and plans block-by-block replacement beginning in 2027 under a rate-funded path that still carries a city caveat on final customer-side coverage.",,,,,official_lookup,bloomington,downtown bloomington|south hill|white oak,617,src-bloomington-il-inventory|src-bloomington-il-notification,verified,2026-04-05
aurora-water-il,aurora-water-production-division,City of Aurora Water Production Division,Aurora Water|City of Aurora Water,aurora,kane,il,City of Aurora,city,https://yourvoice.aurora.il.us/leadnotice,https://yourvoice.aurora.il.us/leadnotice,https://yourvoice.aurora.il.us/leadnotice,aurora-lslr-program,630-256-4636,waterlines@aurora.il.us,lead-notice-and-map-request-page-published,"Aurora says residents can use its lead notice portal to review lead unknown galvanized and connector-unknown statuses, the city issued a 2025 action-level exceedance notice with mitigation steps, and replacement splits between no-cost city-triggered work and owner-managed early replacement where the owner still starts with the private-side contractor cost.",,,,,official_lookup,aurora,downtown aurora|west side aurora|east side aurora,605,src-aurora-inventory|src-aurora-notification,verified,2026-04-05
joliet-water-il,joliet-public-utilities,City of Joliet Department of Public Utilities,Joliet Public Utilities|Joliet Water,joliet,will,il,City of Joliet,city,https://www.joliet.gov/government/departments/public-utilities/news-information/lead-service-line-info,https://experience.arcgis.com/experience/f091114be0ca45638b8d77530a7f32e0,https://www.joliet.gov/government/departments/public-utilities/news-information/lead-service-line-info,joliet-lslr-program,815-724-4220,publicutilities@joliet.gov,inventory-map-and-free-testing-program-published,"Joliet says it maintains an interactive water service inventory map, proactively replaces lead lines at no cost when leak repair elevated test results or water main rehabilitation trigger the program, and provides point-of-use pitchers at no cost in several elevated-risk situations.",,,,,official_lookup,joliet,cathedral area|reedswood|west side joliet,604,src-joliet-inventory|src-joliet-notification,verified,2026-04-05
