program_id,program_slug,program_name,geography,state,utility_ids,subsidy_type,public_side_covered,private_side_covered,income_rules,property_rules,contractor_rules,deadline,application_url,source_refs,verification_status,last_verified
newark-free-replacement,newark-free-replacement,Newark Free Service Line Replacement Program,City of Newark,oh,newark-water-oh,city-funded free replacement from main line to meter,yes city replaces from main to meter,yes city replaces to the meter at no cost,no published income screen,properties with galvanized or unknown notices can sign up and yellow or orange map points are checked for replacement,city crews or contractors perform the replacement,,https://www.newarkohio.gov/lead-service-line-replacement/,src-newark-program,verified,2026-04-04
gcww-full-replacement,gcww-full-replacement,GCWW Lead Service Line Replacement Program,Greater Cincinnati Water Works service area,oh,greater-cincinnati-water-works-oh,100 percent of replacement costs for participating properties,yes full program coverage,yes full program coverage,no published income screen,participation depends on GCWW program triggers and targeted areas,GCWW coordinates contractors and restoration,,https://la.mygcww.org/,src-gcww-program,verified,2026-04-04
madison-rebate,madison-rebate,Madison Lead Service Rebate,City of Madison,wi,madison-water-utility-wi,rebate up to 3000 dollars for private-property lead service replacement,no public-side work because Madison reports no known lead service lines in the utility system,partial private-side reimbursement,no published income screen,property owner must discover lead service on private property and contact Madison Water for details,owner arranges replacement and seeks rebate support,,https://www.cityofmadison.com/water/water-quality/lead-copper-in-water/lead-service-line-inventory,src-madison-program,verified,2026-04-04
columbus-lslr-program,columbus-lslr-program,Lead Service Line Replacement Program,City of Columbus Division of Water service area,oh,columbus-water-oh,citywide replacement at no direct charge when construction reaches an eligible property,yes public-side replacement is covered during scheduled work,yes private-side lead and galvanized lines are replaced during scheduled work,no published income screen,property owner must sign a work agreement and the property must be in the replacement program area,city crews or contractors perform the scheduled replacement,,https://www.columbus.gov/Services/Columbus-Water-Power/About-Columbus-Water-Power/The-Division-of-Water/Water-Facts/Water-Health/Lead-Service-Program-Information,src-columbus-program,verified,2026-04-04
columbus-leap,columbus-leap,Lead Elimination Assistance Program (LEAP),City of Columbus Division of Water service area,oh,columbus-water-oh,no-interest deferred repayment program for proactive replacement,not a separate public-side grant claim because LEAP is framed as a property-owner financing path,yes through a zero-interest deferred repayment structure,no published income screen,property owner may use LEAP to replace a lead or galvanized line proactively or when it is leaking,property owner chooses the contractor and must sign an agreement with the city and contractor,,https://www.columbus.gov/Services/Columbus-Water-Power/About-Columbus-Water-Power/The-Division-of-Water/Water-Facts/Water-Health/Lead-Service-Program-Information,src-columbus-leap,verified,2026-04-04
minneapolis-citywide-replacement,minneapolis-citywide-replacement,Lead Water Service Line Replacement,City of Minneapolis,mn,minneapolis-water-mn,state- and federally-funded no-cost replacement in eligible project areas,not separated from the owner side because the city page describes owner-owned service lines replaced through the project,yes lead service lines are replaced at no cost in eligible project areas,no published income screen,eligibility depends on the project area and city outreach before work begins,city contractors perform the replacement and the city inspects the work,,https://www.minneapolismn.gov/government/projects/lead-service-lines/,src-minneapolis-program,verified,2026-04-04
duluth-citywide-replacement,duluth-citywide-replacement,Lead Service Line Replacement,City of Duluth,mn,duluth-water-mn,no-cost replacement in city-planned project areas funded through state and federal sources,not separated from the owner side because the city page describes full service line replacement at no cost,yes full lead or galvanized requiring replacement work is handled at no cost in eligible projects,no published income screen,properties with lead galvanized requiring replacement or suspected lead service lines are included in planned projects,city hires contractors and owners must sign a work agreement for planned work,,https://duluthmn.gov/public-works-utilities/lead-water-education/lead-service-line-replacement/,src-duluth-program,verified,2026-04-04
phoenix-full-replacement,phoenix-full-replacement,Phoenix Water Service Line Replacement Plan,City of Phoenix,az,phoenix-water-az,city-managed full replacement when a lead or galvanized requiring replacement line is identified,yes city-managed replacement process includes the public side,yes full line from the city meter box to the house connection is replaced at no cost,no published income screen,customers with identified lead or galvanized requiring replacement lines are contacted directly and must sign a replacement contract,city staff or contractors schedule and complete the replacement,,https://pipes.phoenix.gov/,src-phoenix-program,verified,2026-04-04
tucson-replacement-program,tucson-replacement-program,Tucson Water Service Line Replacement Program,Tucson Water service area,az,tucson-water-az,city-managed replacement at no cost when inspection confirms lead or galvanized requiring replacement,yes Tucson Water handles the utility side,yes Tucson Water says confirmed replacement is scheduled at no cost to the customer,no published income screen,eligibility depends on inspections confirming lead or galvanized requiring replacement and utility outreach,Tucson Water crews coordinate the work and contact the customer with next steps,,https://www.tucsonaz.gov/Departments/Water/Water-Quality/lead-free,src-tucson-program,verified,2026-04-04
toledo-lead-line-replacement,toledo-lead-line-replacement,Lead Line Replacement Program,Toledo Public Utilities service area,oh,toledo-water-oh,grant-funded city-managed full replacement at no cost to the property owner,yes city-side replacement is utility-managed,yes identified customer-side lead service lines are replaced at no cost,no published income screen,properties with identified lead lines are scheduled through the city replacement program and advance notice process,city crews or contractors complete replacement and restoration,,https://toledo.oh.gov/residents/water/lead-service-lines,src-toledo-program,verified,2026-04-04
toledo-childcare-facility-replacement,toledo-childcare-facility-replacement,Childcare Facility Lead Service Line Replacement Program,Toledo Public Utilities service area,oh,toledo-water-oh,free city-managed replacement program for licensed childcare facilities with lead service lines,yes city-owned lead service lines are replaced through the program,yes customer-owned lead portions are also replaced if identified,no published income screen,licensed childcare facilities are invited to sign up and applications are first come first served while funding remains,city schedules the work and handles contractor coordination,,https://toledo.oh.gov/residents/water/lead-service-lines,src-toledo-childcare,verified,2026-04-04
detroit-neighborhood-replacement,detroit-neighborhood-replacement,DWSD Neighborhood Lead Service Line Replacement Program,City of Detroit,mi,detroit-water-mi,neighborhood-by-neighborhood utility-managed replacement tied to water main work and available funding,yes DWSD replaces the line from the water main when work reaches the block,yes DWSD says it replaces the lead service line with homeowner permission while crews are on the block,no published income screen,neighborhood timing depends on construction schedules funding and DWSD outreach before work begins,DWSD crews or contractors coordinate replacement and homeowner permission,,https://detroitmi.gov/departments/water-and-sewerage-department/dwsd-projects/making-detroit-lead-safe/lead-service-line-replacement-program,src-detroit-program,verified,2026-04-04
st-joseph-lead-service-replacement,st-joseph-lead-service-replacement,Lead Service Replacement Program,City of St. Joseph,mi,st-joseph-water-mi,city-managed annual lead service replacement program with DSMI-driven eligibility and free testing for eligible properties,yes the city manages replacement obligations under the state schedule,replacement scope depends on DSMI results and city coordination with the property,no published income screen,eligibility is driven by the DSMI point-of-entry inspection results and the current replacement schedule,city staff and contractors coordinate inspections testing and scheduled replacement work,,https://www.sjcity.com/cityengineer/page/lead-service-replacement-program,src-st-joseph-program,verified,2026-04-04
citizens-lslr-program,citizens-lslr-program,Citizens Lead Service Line Replacement Program,Citizens Energy Group water service territory,in,citizens-energy-group-in,multi-year replacement program that fully replaces customer-owned lead service lines through utility projects and targeted neighborhoods,yes Citizens funds the public right-of-way portion of full replacement,yes proactive neighborhood replacements occur at no additional cost and owner-initiated paths vary by location,no published income screen,eligibility depends on current project areas right-of-entry approval or owner-initiated replacement choice,Citizens contractors or approved plumbers complete the work depending on the replacement path,,https://info.citizensenergygroup.com/projects/lead-service-line-replacement,src-citizens-program,verified,2026-04-04
kendallville-lslr-program,kendallville-lslr-program,Lead Line Replacement Program,City of Kendallville,in,kendallville-water-in,city-managed phased replacement program backed by state grant and loan funding,yes the city manages replacement work in the public system,yes participating customers pay no additional fees when they join the city program,no published income screen,service lines requiring replacement are identified through the inventory and phase areas and owners must sign a right-of-entry form,city-selected contractors perform potholing verification replacement and follow-up testing,,https://www.kendallvillein.gov/departments/Water/LeadLineReplacementProgram,src-kendallville-program,verified,2026-04-04
lafayette-lslr-program,lafayette-lslr-program,Lead Service Line Replacement Program,City of Lafayette,in,lafayette-water-in,city-managed full replacement program funded with grants and loans at no cost to customers in active project areas,yes the city replaces the public portion during the coordinated project,yes the city coordinates replacement of identified private-side lead lines at no cost in active project areas,no published income screen,property must be identified by the city's inspections records or letters and owners must sign right-of-entry authorization forms,city-selected contractors and licensed plumbers complete the replacement and post-replacement testing,,https://lafayette.in.gov/3615/Lead-Service-Line-Replacement-Program,src-lafayette-program,verified,2026-04-04
bloomington-il-lslr-project,bloomington-il-lslr-project,Lead Service Line Replacement Project,City of Bloomington,il,bloomington-water-il,block-by-block city replacement project with customer-side costs expected to be covered by water rate increases,yes the city is planning and funding public-side work through the water capital program,yes the city anticipates the customer-side replacement cost will be covered by rate increases though final costs are not guaranteed,no published income screen,properties with lead lines are prioritized through block-by-block construction areas and final customer responsibility depends on available project funds,city-managed construction program coordinates replacements and restoration,,https://www.bloomingtonil.gov/departments/water/resident-community/lead-service-line-replacement-project,src-bloomington-il-program,verified,2026-04-04
aurora-lslr-program,aurora-lslr-program,Lead Service Line Replacement Program,City of Aurora,il,aurora-water-il,city-managed replacement program triggered by disturbances elevated lead sampling and annual replacement scheduling,yes the city replaces public-side segments at no cost to the customer,yes in city-triggered cases and owner-managed early replacement still receives city-side completion at no cost,no published income screen,residents can request replacement through the city's lead notice portal and eligibility depends on lead or galvanized status disturbance or elevated lead results,city staff or contractors coordinate public-side work and homeowners manage the inside-to-curb-stop segment when using the owner-managed path,,https://www.aurora.il.us/News-articles/Lead-Service-Line-Replacement-Progress,src-aurora-program,verified,2026-04-04
joliet-lslr-program,joliet-lslr-program,Lead Service Line Replacement Program,City of Joliet,il,joliet-water-il,city-managed full replacement program at no cost under leak repair elevated test results and water main rehabilitation scheduling,yes the city replaces the public portion at no cost,yes full replacement is provided at no cost when city criteria are met,no published income screen,property must have a lead service line and either a disturbance elevated test result or later scheduled main rehabilitation,public utilities coordinates inspections testing replacement and post-replacement filter support,,https://www.joliet.gov/government/departments/public-utilities/news-information/lead-service-line-info,src-joliet-program,verified,2026-04-04
rockford-lslr-program,rockford-lslr-program,Lead Service Line Replacement Program,City of Rockford,il,rockford-water-il,citywide replacement project financed through the Illinois SRF plus voluntary full replacement coordination,yes the city replaces public-side segments as part of project phases or voluntary coordination,partial private-side work is city-managed in project phases but owner-requested voluntary replacement requires the owner to pay for private-side work,no published income screen,identified lead service lines are replaced through city project phases or through owner-requested voluntary full replacement coordination,field services and city contractors coordinate public-space work while owners arrange private plumbers for voluntary replacements,,https://rockfordil.gov/320/Lead-Drinking-Water,src-rockford-program,verified,2026-04-04
evanston-homeowner-initiated-lslr,evanston-homeowner-initiated-lslr,Homeowner Initiated LSLR,City of Evanston,il,evanston-water-il,seasonal city lead abatement program that coordinates public-side replacement and pilot reimbursement for private-side work,yes the city replaces the public side at no expense to the property owner,partial the homeowner-initiated pilot offers reimbursement and waived permit fees while annual water main projects can fully replace affected lines at no cost,no published income screen,property must have a lead or galvanized service line and either be in an annual project area or participate in the homeowner-initiated or pilot process,city coordinates with licensed plumbers and city inspections are required,,https://www.cityofevanston.org/departments/public_works/plans_programs/private-side_lslr_pilot.php,src-evanston-program,verified,2026-04-04
green-bay-grr-replacement,green-bay-grr-replacement,Galvanized Service Line Replacement,City of Green Bay,wi,green-bay-water-wi,municipal replacement project for galvanized lines requiring replacement financed through the Wisconsin DWSRF,yes Green Bay Water coordinates utility-side work,conditional properties flagged as lead or GRR may qualify for municipal programs at reduced or no cost,no published income screen,properties flagged as lead or GRR can contact Green Bay Water for inspection scheduling and replacement eligibility,utility staff schedule inspections and funded project work through the replacement program,,https://www.gbwater.org/service-line-lookup-map,src-green-bay-program,verified,2026-04-04
grand-rapids-lslr-program,grand-rapids-lslr-program,Lead Line Replacement Program,City of Grand Rapids,mi,grand-rapids-water-mi,city-managed no-cost replacement for leaks and city construction projects plus a ten-pay voluntary option,yes the city replaces the public side at no cost in all program paths,yes in leak or city-project cases and voluntary replacements can use the ten-pay financing path,no published income screen,service must be lead and either have a qualifying leak be within city construction or the owner must request the voluntary ten-pay option,approved city contractors and plumbers perform the work after a signed Water Service Agreement,,https://www.grandrapidsmi.gov/departments/water-system/lead-in-drinking-water/lead-line-replacement-program/,src-grand-rapids-program,verified,2026-04-04
chicago-lslr-program,chicago-lslr-program,Lead Service Line Replacement Program,City of Chicago,il,chicago-water-il,citywide lead service line replacement program with lookup guidance and scheduled replacement coordination,yes the city coordinates public-side replacement during scheduled project work,yes qualifying replacement work includes private-side coordination within the city program,no published income screen,property must be identified through the city water guidance inventory path or replacement outreach,city-contracted replacement work and homeowner coordination rules apply to the active project area,,https://www.leadsafechicago.org/lead-service-line-replacement,src-chicago-program,verified,2026-04-04
fort-wayne-lslr-program,fort-wayne-lslr-program,Lead Service Line Replacement Program,Fort Wayne City Utilities,in,fort-wayne-water-in,federal grant assisted replacement program for targeted lead service line removals,yes City Utilities replaces the utility-owned portion during scheduled work,partial free replacements are available in project areas while owner-requested work may involve private-side costs,no published income screen,homes with lead or galvanized lines and owner requests can qualify through the city lead page,City Utilities or city contractors coordinate the public-side work and testing,,https://utilities.cityoffortwayne.org/remove-lead,src-fort-wayne-program,verified,2026-04-04
racine-private-lead-service-line-replacement,racine-private-lead-service-line-replacement,Private Lead Service Line Replacement Program,City of Racine,wi,racine-water-wi,five-year city lead service line replacement program funded on an annual basis,yes utility-owned portions are replaced as part of the city program,yes most invited homeowners can have their lead service lines replaced for free,no published income screen,properties identified through annual notices or city replacement outreach are eligible for invitations,city crews and contractors coordinate the replacement work and restoration,,https://www.cityofracine.org/uploadedFiles/_MainSiteContent/Departments/Water/Lead_Service_Line_Replacement/FAQ/FAQs.pdf,src-racine-program,verified,2026-04-04
kalamazoo-citywide-lslr-program,kalamazoo-citywide-lslr-program,Lead Service Line Replacement Program,City of Kalamazoo,mi,kalamazoo-water-mi,citywide replacement program supported by ratepayers state funding and foundation support,yes the city funds the public-side replacement work,yes qualifying customer-side lines are replaced at no charge in the city program,no published income screen,homes with lead lines or likely lead lines are prioritized through the utility lookup and replacement schedule,city staff and contractors coordinate replacement restoration and post-replacement testing,,https://www.kalamazoocity.org/Residents/Water-Sewer-Service/More-About-Kalamazoos-Utility-Systems/Lead-Copper-Program,src-kalamazoo-program,verified,2026-04-04
mud-omaha-lslr-program,mud-omaha-lslr-program,Lead Service Line Replacement Program,Metropolitan Utilities District service area,ne,mud-omaha-ne,multi-year utility replacement program that replaces customer-owned lead service lines free of charge,yes M.U.D. coordinates utility-side work through the district program,yes customer-owned lead service lines are replaced free of charge,no published income screen,properties with lead service lines are prioritized through the district map and neighborhood rollout schedule,M.U.D. controls contractors and outside contractor scheduling is not part of the program,,https://www.mudomaha.com/lead-information/,src-mud-omaha-program,verified,2026-04-04
iowa-american-water-lslr-program,iowa-american-water-lslr-program,Lead Service Line Replacement Program,Iowa American Water service area,ia,iowa-american-water-ia,ongoing utility replacement program that replaces lead and galvanized customer-owned lines at no direct cost,yes Iowa American Water coordinates utility-side replacement as part of the program,yes customer-owned lead and galvanized lines are replaced at no direct cost,no published income screen,lead galvanized or unknown customers identified through the map and notice letters are part of the ongoing replacement effort,Iowa American Water coordinates the replacement process and depends on customer cooperation to identify remaining lines,,https://amwater.com/iaaw/water-quality/lead-and-drinking-water/index,src-iowa-amwater-program,verified,2026-04-04
iowa-city-cost-share-reimbursement,iowa-city-cost-share-reimbursement,Cost-Share Reimbursement Program,City of Iowa City,ia,iowa-city-water-ia,cost-share reimbursement path for eligible lead service line replacement after city verification and contractor work,partial the city maintains the utility-owned portion to the meter and verifies eligible work,partial eligible lead or suspected lead service line replacements can use the city reimbursement path after contractor completion,no published income screen,homes with lead or suspected lead service lines using the city's verification and reimbursement rules may qualify,homeowners hire a local excavating or plumbing contractor and the city verifies materials permits and reimbursement paperwork,,https://www.icgov.org/home/showpublisheddocument/160/638974213462430000,src-iowa-city-program,verified,2026-04-04
jackson-citywide-lslr-program,jackson-citywide-lslr-program,Lead Service Line Replacement Program,City of Jackson,mi,jackson-water-mi,citywide replacement program funded through DWSRF city crews and contracted replacement work,yes the city coordinates public-side replacement as part of scheduled work,yes eligible homeowners can receive private-side replacement at no cost,no published income screen,eligible homes inside the City of Jackson can sign up early or are contacted when replacement is scheduled in their area,city crews or city contractors perform the work after property access and the temporary license are granted,,https://www.cityofjackson.org/1115/Lead-Service-Line-Replacements,src-jackson-program,verified,2026-04-04
flint-citywide-lslr-program,flint-citywide-lslr-program,Lead Service Line Replacement Program,City of Flint,mi,flint-water-mi,citywide no-cost lead service line replacement and consent-based inspection program nearing completion,yes the city coordinates public-side work through the Flint replacement program,yes residential non-copper and lead service lines are replaced at no cost under the current program,no published income screen,residents must submit consent forms and allow access for inspection and replacement of remaining non-copper lines,city staff or city contractors coordinate replacement flushing and filter guidance after the work,,https://www.cityofflint.com/get-the-lead-out/,src-flint-program,verified,2026-04-04
missouri-american-water-lslr-program,missouri-american-water-lslr-program,Lead Service Line Replacement Program,Missouri American Water service area,mo,missouri-american-water-mo,utility-managed replacement program for verified lead or galvanized service lines at no direct cost,yes Missouri American Water replaces the company-owned portion as part of the program,yes Missouri American Water says verified lead or galvanized service lines are replaced at no direct cost,no published income screen,customers must self-report or request inspection when material is unknown and the service line must be verified as lead or galvanized,Missouri American Water coordinates inspections outreach and replacement scheduling,,https://www.amwater.com/moaw/water-quality/lead-and-drinking-water/lead-service-faqs,src-mo-amwater-program,verified,2026-04-04
grand-island-lslr-project,grand-island-lslr-project,Lead Service Line Replacement Project,City of Grand Island,ne,grand-island-utilities-ne,multi-year utility-managed replacement project for addresses identified through the GIUD inventory and mailed notices,yes the utility manages replacement work through the current city project,private-side responsibility should be confirmed with GIUD for the specific address because the public page focuses on identification and project scheduling,no published income screen,addresses with lead or unknown service material move through the city's notice and project workflow,GIUD staff and project contractors coordinate mailed notices inspections and replacement scheduling,,https://www.giud.com/o/giud/page/lead-service-line-replacement-project-lsl,src-grand-island-program,verified,2026-04-04
council-bluffs-lslr-project,council-bluffs-lslr-project,Lead Service Line Replacement Project,Council Bluffs,ia,council-bluffs-water-ia,SRF-funded replacement project described through the utility's public notice and map guidance,the public notice describes utility-managed replacement work tied to the project area and funding cycle,exact private-side cost and eligibility should be confirmed with Council Bluffs Water Works before work begins,no published income screen,eligibility depends on the current project area public notice and utility outreach,CBWW coordinates the project notice timeline map updates and construction communication,,https://www.cbwaterworks.com/wp-content/uploads/2025/05/Lead-Service-Line-Replacement-Project-Public-Notice.pdf,src-council-bluffs-program,verified,2026-04-04
dubuque-lslr-pilot-program,dubuque-lslr-pilot-program,Lead Service Line Replacement Pilot Program,City of Dubuque,ia,dubuque-water-ia,interest-based pilot program for selected private lead service line replacements backed by federal and state funding,no separate public-side claim because Dubuque says the service line from the water main to the meter is customer-owned in Dubuque,selected eligible private lead service lines can be replaced through the city pilot at no cost to the owner or tenant,no published income screen,eligibility depends on current pilot-area criteria Water Department review and city outreach after interest forms are submitted,property owners submit the interest form and complete verification or consent steps if the city selects the address,,https://cityofdubuque.org/3165/Lead-Service-Line-Replacement-Pilot-Prog,src-dubuque-program,verified,2026-04-04
hastings-water-main-lslr-program,hastings-water-main-lslr-program,Water Main and Lead Service Replacement Program,City of Hastings,ne,hastings-water-ne,city-managed neighborhood replacement program financed with BIL support and Nebraska reimbursement,yes lead service replacement is coordinated alongside the city's water main replacement work,yes city crews replace lead water service lines in active neighborhoods through the Hastings program,no published income screen,eligibility depends on the active neighborhood construction areas and the city's replacement schedule,city crews coordinate replacement progress and customer letters through the Engage Hastings program hub,,https://engage.cityofhastings.org/water-lead-services-replacements,src-hastings-program,verified,2026-04-04
